res	1920	1088
frame	id	x	y	area
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	90	1103.0	755.0	29
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	91	1565.0	800.0	29
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	92	1574.0	929.0	29
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	93	792.0	601.0	28
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	94	1408.0	694.0	28
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	95	1467.0	729.0	28
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	96	1539.0	770.0	28
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	97	884.0	425.0	27
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	98	950.0	325.0	27
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	99	1244.0	515.0	27
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	100	1263.0	527.0	27
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	101	1325.0	643.0	27
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	102	1533.0	812.0	27
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	103	820.0	617.0	26
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	104	850.0	425.0	26
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	105	881.0	623.0	26
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	106	883.0	778.0	26
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	107	897.0	299.0	26
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	108	1144.0	662.0	26
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	109	1178.0	718.0	26
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	110	1298.0	745.0	26
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	111	1332.0	744.0	26
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	112	1374.0	676.0	26
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	113	1513.0	685.0	26
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	114	1524.0	763.0	26
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	115	907.0	591.0	25
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	116	1191.0	415.0	25
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	117	1211.0	259.0	25
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	118	1278.0	304.0	25
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	119	1551.0	685.0	25
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	120	909.0	531.0	24
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	121	1039.0	402.0	24
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	122	1214.0	739.0	24
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	123	1224.0	765.0	24
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	124	1259.0	777.0	24
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	125	1518.0	831.0	24
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	126	900.0	937.0	23
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	127	955.0	898.0	23
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	128	1066.0	428.0	23
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	129	1258.0	462.0	23
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	130	1330.0	631.0	23
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	131	1441.0	789.0	23
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	132	1581.0	884.0	23
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	133	927.0	1006.0	22
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	134	982.0	664.0	22
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	135	1240.0	811.0	22
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	136	1067.0	46.0	21
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	137	1143.0	638.0	21
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	138	1219.0	557.0	21
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	139	1304.0	765.0	21
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	140	1399.0	711.0	21
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	141	1535.0	609.0	21
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	142	951.0	924.0	20
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	143	1107.0	270.0	20
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	144	1462.0	841.0	20
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	145	1618.0	1010.0	20
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	146	861.0	898.0	19
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	147	1157.0	619.0	19
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	148	1373.0	668.0	19
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	149	1581.0	746.0	19
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	150	1430.0	938.0	18
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	151	1370.0	730.0	17
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	152	1456.0	788.0	17
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	153	1607.0	947.0	17
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	154	1567.0	920.0	5
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	0	1214.0	348.0	151
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	1	1072.0	564.0	117
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	2	1392.0	946.0	112
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	3	1040.0	580.0	86
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	4	1176.0	669.0	73
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	5	1320.0	657.0	73
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	6	1302.0	566.0	67
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	7	1511.0	691.0	67
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	8	1154.0	584.0	63
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	9	976.0	337.0	60
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	10	1306.0	584.0	58
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	11	1462.0	662.0	58
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	12	1278.0	730.0	57
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	13	1600.0	794.0	55
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	14	1194.0	477.0	54
